Description,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment
CARNIVAL BRACELET,243,6,255.0,5,1,2,512,Inactive product or newly launched
CAROUSEL DESIGN WASHBAG,15,26,101.39999999999999,3,2,2,322,Inactive product or newly launched
CAROUSEL PONIES BABY BIB,255,13,14.37,5,2,1,521,Inactive product or newly launched
CARRIAGE,5,133,6686.0,3,4,5,345,Selling consistently
CARROT CHARLIE+LOLA COASTER SET,1,92,545.99,1,4,3,143,Inactive product or newly launched
CARTOON  PENCIL SHARPENERS,4,50,253.2,2,3,2,232,Potential products
CAST IRON HOOK GARDEN FORK,234,14,1371.4299999999998,5,2,4,524,Inactive product or newly launched
CAST IRON HOOK GARDEN TROWEL,227,15,962.73,5,2,4,524,Inactive product or newly launched
CAT AND BIRD WALL ART,47,4,323.64,4,1,2,412,Inactive product or newly launched
CAT BOWL VINTAGE CREAM,1,101,1396.95,1,4,4,144,Inactive product or newly launched
CAT WITH SUNGLASSES BLANK CARD,20,1,0.95,3,1,1,311,Inactive product or newly launched
CD WALL TIDY BLUE OFFICE,16,2,34.56,3,1,1,311,Inactive product or newly launched
CD WALL TIDY RED FLOWERS,16,5,58.56,3,1,1,311,Inactive product or newly launched
CERAMIC BIRDHOUSE CRESTED TIT SMALL,262,17,212.40000000000003,5,2,2,522,Inactive product or newly launched
CERAMIC BOWL WITH LOVE HEART DESIGN,57,58,599.74,4,3,3,433,Potential products
CERAMIC BOWL WITH STRAWBERRY DESIGN,2,84,1106.5500000000002,1,4,4,144,Inactive product or newly launched
CERAMIC CAKE BOWL + HANGING CAKES,1,100,1832.15,1,4,4,144,Inactive product or newly launched
CERAMIC CAKE DESIGN SPOTTED MUG,1,157,2035.55,1,5,4,154,Inactive product or newly launched
CERAMIC CAKE DESIGN SPOTTED PLATE,8,76,1104.8899999999999,3,4,4,344,Selling consistently
CERAMIC CAKE STAND + HANGING CAKES,2,152,5074.83,1,4,5,145,Inactive product or newly launched
CERAMIC CHERRY CAKE MONEY BANK,1,188,2315.73,1,5,4,154,Inactive product or newly launched
CERAMIC HEART FAIRY CAKE MONEY BANK,1,234,2243.94,1,5,4,154,Inactive product or newly launched
CERAMIC LOVE HEART MONEY BANK,1,36,429.84999999999997,1,3,3,133,Inactive product or newly launched
CERAMIC PIRATE CHEST MONEY BANK,3,106,1122.95,2,4,4,244,Potential products
CERAMIC PLATE STRAWBERRY DESIGN,1,56,648.18,1,3,3,133,Inactive product or newly launched
CERAMIC STRAWBERRY CAKE MONEY BANK,1,282,4745.3099999999995,1,5,5,155,Inactive product or newly launched
CERAMIC STRAWBERRY DESIGN MUG,1,146,1960.47,1,4,4,144,Inactive product or newly launched
CERAMIC STRAWBERRY MONEY BOX,17,47,1859.3999999999999,3,3,4,334,Potential products
CERAMIC STRAWBERRY TRINKET TRAY,33,12,140.25,4,2,2,422,Inactive product or newly launched
CHALKBOARD KITCHEN ORGANISER,358,3,137.7,5,1,2,512,Inactive product or newly launched
CHAMBRE HOOK,1,18,155.06999999999996,1,2,2,122,Inactive product or newly launched
CHAMPAGNE TRAY BLANK CARD,15,2,1.52,3,1,1,311,Inactive product or newly launched
CHARLIE & LOLA WASTEPAPER BIN BLUE,4,83,805.75,2,4,3,243,Potential products
CHARLIE & LOLA WASTEPAPER BIN FLORA,5,107,1228.25,3,4,4,344,Selling consistently
CHARLIE + LOLA BISCUITS TINS,200,51,963.3499999999999,5,3,4,534,Potential products
CHARLIE + LOLA RED HOT WATER BOTTLE,1,132,1333.15,1,4,4,144,Inactive product or newly launched
CHARLIE AND LOLA CHARLOTTE BAG,286,8,70.95,5,2,2,522,Inactive product or newly launched
CHARLIE AND LOLA FIGURES TINS,103,127,2817.7999999999997,4,4,5,445,MVP
CHARLIE AND LOLA TABLE TINS,173,60,1048.35,5,3,4,534,Potential products
CHARLIE LOLA BLUE HOT WATER BOTTLE ,1,37,338.09000000000003,1,3,3,133,Inactive product or newly launched
CHARLIE+LOLA MY ROOM DOOR SIGN,4,66,205.98,2,3,2,232,Potential products
CHARLIE+LOLA PINK HOT WATER BOTTLE,1,106,1107.0100000000002,1,4,4,144,Inactive product or newly launched
CHARLIE+LOLA RED HOT WATER BOTTLE ,1,49,498.53000000000003,1,3,3,133,Inactive product or newly launched
"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",1,73,313.78,1,4,2,142,Inactive product or newly launched
CHARLOTTE BAG ALPHABET  DESIGN,187,22,320.5,5,2,2,522,Inactive product or newly launched
CHARLOTTE BAG APPLES DESIGN,1,427,5632.15,1,5,5,155,Inactive product or newly launched
CHARLOTTE BAG DOLLY GIRL DESIGN,2,347,4011.19,1,5,5,155,Inactive product or newly launched
CHARLOTTE BAG PINK POLKADOT,1,494,5838.09,1,5,5,155,Inactive product or newly launched
CHARLOTTE BAG SUKI DESIGN,2,590,7114.85,1,5,5,155,Inactive product or newly launched
CHARLOTTE BAG VINTAGE ALPHABET ,1,325,3784.52,1,5,5,155,Inactive product or newly launched
CHERRY BLOSSOM  DECORATIVE FLASK,9,95,1242.72,3,4,4,344,Selling consistently
CHERRY BLOSSOM CANVAS ART PICTURE,123,6,97.95,4,1,2,412,Inactive product or newly launched
CHERRY BLOSSOM DECORATIVE FLASK,176,57,666.93,5,3,3,533,Potential products
CHERRY BLOSSOM LUGGAGE TAG,4,6,43.67,2,1,1,211,Inactive product or newly launched
CHERRY BLOSSOM PASSPORT COVER,1,25,122.78,1,2,2,122,Inactive product or newly launched
CHERRY BLOSSOM PURSE,193,1,2.95,5,1,1,511,Inactive product or newly launched
CHERRY BLOSSOM TABLE CLOCK ,202,3,25.7,5,1,1,511,Inactive product or newly launched
CHERRY CROCHET FOOD COVER,4,78,813.67,2,4,3,243,Potential products
CHERUB HEART DECORATION GOLD,2,59,620.4499999999999,1,3,3,133,Inactive product or newly launched
CHERUB HEART DECORATION SILVER ,4,69,1089.6,2,4,4,244,Potential products
CHEST 7 DRAWER MA CAMPAGNE,7,24,821.3,3,2,3,323,Inactive product or newly launched
CHEST NATURAL WOOD 20 DRAWERS,25,13,2745.0,4,2,5,425,Inactive product or newly launched
CHEST OF DRAWERS GINGHAM HEART ,3,79,2459.04,2,4,4,244,Potential products
CHICK GREY HOT WATER BOTTLE,1,288,5770.27,1,5,5,155,Inactive product or newly launched
CHILDREN'S APRON DOLLY GIRL ,1,262,3984.78,1,5,5,155,Inactive product or newly launched
CHILDREN'S CIRCUS PARADE MUG,2,111,1914.5799999999997,1,4,4,144,Inactive product or newly launched
CHILDREN'S SPACEBOY MUG,1,179,2746.1599999999994,1,5,5,155,Inactive product or newly launched
CHILDRENS APRON APPLES DESIGN,2,279,4097.45,1,5,5,155,Inactive product or newly launched
CHILDRENS APRON SPACEBOY DESIGN,1,451,6560.79,1,5,5,155,Inactive product or newly launched
CHILDRENS CUTLERY CIRCUS PARADE,1,143,3852.44,1,4,5,145,Inactive product or newly launched
CHILDRENS CUTLERY DOLLY GIRL ,1,270,6525.55,1,5,5,155,Inactive product or newly launched
CHILDRENS CUTLERY POLKADOT BLUE,1,211,9827.25,1,5,5,155,Inactive product or newly launched
CHILDRENS CUTLERY POLKADOT GREEN ,2,166,6599.06,1,5,5,155,Inactive product or newly launched
CHILDRENS CUTLERY POLKADOT PINK,1,326,13788.300000000001,1,5,5,155,Inactive product or newly launched
CHILDRENS CUTLERY RETROSPOT RED ,1,232,9603.68,1,5,5,155,Inactive product or newly launched
CHILDRENS CUTLERY SPACEBOY ,1,320,7966.080000000001,1,5,5,155,Inactive product or newly launched
CHILDRENS DOLLY GIRL MUG,4,158,2443.14,2,5,4,254,Potential products
CHILDRENS GARDEN GLOVES BLUE,200,66,721.0,5,3,3,533,Potential products
CHILDRENS GARDEN GLOVES PINK,235,52,553.5,5,3,3,533,Potential products
CHILDRENS SPACEBOY MUG,367,2,39.599999999999994,5,1,1,511,Inactive product or newly launched
CHILDRENS TOY COOKING UTENSIL SET,17,124,1363.16,3,4,4,344,Selling consistently
CHILDS BREAKFAST SET CIRCUS PARADE,1,183,4656.3,1,5,5,155,Inactive product or newly launched
CHILDS BREAKFAST SET DOLLY GIRL ,2,181,6053.049999999999,1,5,5,155,Inactive product or newly launched
CHILDS BREAKFAST SET SPACEBOY ,2,205,6652.0,1,5,5,155,Inactive product or newly launched
CHILDS GARDEN BRUSH BLUE,207,57,663.3000000000001,5,3,3,533,Potential products
CHILDS GARDEN BRUSH PINK,186,65,741.0000000000001,5,3,3,533,Potential products
CHILDS GARDEN FORK BLUE ,1,122,757.89,1,4,3,143,Inactive product or newly launched
CHILDS GARDEN FORK PINK,5,118,716.55,3,4,3,343,Selling consistently
CHILDS GARDEN RAKE BLUE,13,43,348.00000000000006,3,3,3,333,Potential products
CHILDS GARDEN RAKE PINK,3,54,366.90000000000003,2,3,3,233,Potential products
CHILDS GARDEN SPADE BLUE,10,75,537.0,3,4,3,343,Selling consistently
CHILDS GARDEN SPADE PINK,3,63,488.70000000000005,2,3,3,233,Potential products
CHILDS GARDEN TROWEL BLUE ,207,107,599.25,5,4,3,543,Selling consistently
CHILDS GARDEN TROWEL PINK,223,95,508.29999999999995,5,4,3,543,Selling consistently
CHILLI LIGHTS,1,521,46265.11,1,5,5,155,Inactive product or newly launched
CHINESE DRAGON PAPER LANTERNS,79,75,1870.7,4,4,4,444,MVP
CHOC TRUFFLE GOLD TRINKET POT ,1,49,562.53,1,3,3,133,Inactive product or newly launched
CHOCOLATE 1 WICK MORRIS BOX CANDLE,22,42,553.58,3,3,3,333,Potential products
CHOCOLATE 3 WICK MORRIS BOX CANDLE,43,43,816.25,4,3,3,433,Potential products
CHOCOLATE BOX RIBBONS ,2,237,1917.58,1,5,4,154,Inactive product or newly launched
CHOCOLATE CALCULATOR,1,116,1296.83,1,4,4,144,Inactive product or newly launched
CHOCOLATE HOT WATER BOTTLE,1,706,23584.64,1,5,5,155,Inactive product or newly launched
CHOCOLATE THIS WAY METAL SIGN,1,379,7204.320000000001,1,5,5,155,Inactive product or newly launched
CHRISTMAS CARD SCREEN PRINT ,7,43,283.32,3,3,2,332,Potential products
CHRISTMAS CARD SINGING ANGEL,4,25,151.2,2,2,2,222,Inactive product or newly launched
CHRISTMAS CARD STACK OF PRESENTS,33,36,196.44,4,3,2,432,Potential products
CHRISTMAS CRAFT HEART STOCKING ,366,1,63.0,5,1,1,511,Inactive product or newly launched
CHRISTMAS CRAFT LITTLE FRIENDS,1,430,7109.200000000001,1,5,5,155,Inactive product or newly launched
CHRISTMAS CRAFT TREE TOP ANGEL,1,355,5015.080000000001,1,5,5,155,Inactive product or newly launched
CHRISTMAS CRAFT WHITE FAIRY ,1,330,4334.94,1,5,5,155,Inactive product or newly launched
CHRISTMAS DECOUPAGE CANDLE,39,65,782.77,4,3,3,433,Potential products
"CHRISTMAS GARLAND STARS,TREES",1,21,366.25,1,2,3,123,Inactive product or newly launched
CHRISTMAS GINGHAM HEART,331,30,450.47999999999996,5,3,3,533,Potential products
CHRISTMAS GINGHAM STAR,1,140,1735.27,1,4,4,144,Inactive product or newly launched
CHRISTMAS GINGHAM TREE,1,126,1480.06,1,4,4,144,Inactive product or newly launched
CHRISTMAS HANGING HEART WITH BELL,331,17,270.0,5,2,2,522,Inactive product or newly launched
CHRISTMAS HANGING SNOWFLAKE,3,44,421.02000000000004,2,3,3,233,Potential products
CHRISTMAS HANGING STAR WITH BELL,1,184,2402.12,1,5,4,154,Inactive product or newly launched
CHRISTMAS HANGING TREE WITH BELL,1,89,993.66,1,4,4,144,Inactive product or newly launched
CHRISTMAS LIGHTS 10 REINDEER,1,253,12133.0,1,5,5,155,Inactive product or newly launched
CHRISTMAS LIGHTS 10 SANTAS ,1,131,4100.25,1,4,5,145,Inactive product or newly launched
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,4,159,5939.280000000001,2,5,5,255,Potential products
CHRISTMAS METAL POSTCARD WITH BELLS,3,60,1125.94,2,3,4,234,Potential products
CHRISTMAS METAL TAGS ASSORTED ,4,139,2395.93,2,4,4,244,Potential products
CHRISTMAS MUSICAL ZINC HEART ,361,5,29.75,5,1,1,511,Inactive product or newly launched
CHRISTMAS MUSICAL ZINC STAR,1,71,528.2099999999999,1,4,3,143,Inactive product or newly launched
CHRISTMAS MUSICAL ZINC TREE,1,52,290.16999999999996,1,3,2,132,Inactive product or newly launched
CHRISTMAS PUDDING TRINKET POT ,2,175,2883.44,1,5,5,155,Inactive product or newly launched
CHRISTMAS RETROSPOT ANGEL WOOD,3,152,1824.87,2,4,4,244,Potential products
CHRISTMAS RETROSPOT HEART WOOD,361,11,93.5,5,2,2,522,Inactive product or newly launched
CHRISTMAS RETROSPOT STAR WOOD,1,144,1301.84,1,4,4,144,Inactive product or newly launched
CHRISTMAS RETROSPOT TREE WOOD,1,130,1088.1299999999999,1,4,4,144,Inactive product or newly launched
CHRISTMAS STAR WISH LIST CHALKBOARD,1,237,3535.2,1,5,5,155,Inactive product or newly launched
CHRISTMAS TABLE CANDLE SILVER SPIKE,179,1,13.28,5,1,1,511,Inactive product or newly launched
CHRISTMAS TABLE SILVER CANDLE SPIKE,2,76,1301.05,1,4,4,144,Inactive product or newly launched
CHRISTMAS TOILET ROLL,1,175,3665.05,1,5,5,155,Inactive product or newly launched
CHRISTMAS TREE DECORATION WITH BELL,41,22,191.94,4,2,2,422,Inactive product or newly launched
CHRISTMAS TREE HANGING GOLD,1,66,690.64,1,3,3,133,Inactive product or newly launched
CHRISTMAS TREE HANGING SILVER ,1,68,670.1099999999999,1,3,3,133,Inactive product or newly launched
CHRISTMAS TREE HEART DECORATION,19,48,418.74,3,3,3,333,Potential products
CHRISTMAS TREE PAINTED ZINC ,20,55,569.2900000000001,3,3,3,333,Potential products
CHRISTMAS TREE STAR DECORATION,1,49,462.41999999999996,1,3,3,133,Inactive product or newly launched
CHRISTMAS TREE T-LIGHT HOLDER,12,8,47.849999999999994,3,2,1,321,Inactive product or newly launched
CHRYSANTHEMUM  JOURNAL,3,27,180.91,2,3,2,232,Potential products
CHRYSANTHEMUM NOTEBOOK,9,36,156.75,3,3,2,332,Potential products
CHRYSANTHEMUM POCKET BOOK ,2,20,54.4,1,2,1,121,Inactive product or newly launched
CHRYSANTHEMUM SKETCHBOOK ,4,51,367.34,2,3,3,233,Potential products
CHUNKY SILVER NECKLACE PASTEL FLOWE,12,12,208.95,3,2,2,322,Inactive product or newly launched
CINAMMON & ORANGE WREATH,1,33,654.55,1,3,3,133,Inactive product or newly launched
CINAMMON SET OF 9 T-LIGHTS,1,111,672.06,1,4,3,143,Inactive product or newly launched
CINDERELLA CHANDELIER ,36,22,3617.6000000000004,4,2,5,425,Inactive product or newly launched
CINNAMON SCENTED VOTIVE CANDLE,3,38,326.23999999999995,2,3,2,232,Potential products
CIRCUS PARADE BABY GIFT SET,6,89,4444.75,3,4,5,345,Selling consistently
CIRCUS PARADE CHILDRENS EGG CUP ,1,113,1282.34,1,4,4,144,Inactive product or newly launched
CIRCUS PARADE LUNCH BOX ,1,259,6114.83,1,5,5,155,Inactive product or newly launched
CITRONELLA CANDLE FLOWERPOT,4,127,1429.2,2,4,4,244,Potential products
CITRONELLA CANDLE GARDEN POT,2,126,1348.75,1,4,4,144,Inactive product or newly launched
CITRUS GARLAND FELT FLOWERS ,226,14,117.0,5,2,2,522,Inactive product or newly launched
CLAM SHELL LARGE,262,4,18.75,5,1,1,511,Inactive product or newly launched
CLAM SHELL SMALL ,1,30,375.73,1,3,3,133,Inactive product or newly launched
CLASSIC BICYCLE CLIPS ,1,89,2200.15,1,4,4,144,Inactive product or newly launched
CLASSIC CAFE SUGAR DISPENSER,1,210,3037.1,1,5,5,155,Inactive product or newly launched
CLASSIC CHROME BICYCLE BELL ,1,175,3431.35,1,5,5,155,Inactive product or newly launched
CLASSIC CROME BICYCLE BELL ,24,2,77.4,4,1,2,412,Inactive product or newly launched
CLASSIC DIAMANTE EARRINGS JET,77,1,17.700000000000003,4,1,1,411,Inactive product or newly launched
CLASSIC DIAMANTE NECKLACE JET,37,1,15.0,4,1,1,411,Inactive product or newly launched
CLASSIC FRENCH STYLE BASKET BROWN,11,67,1240.44,3,3,4,334,Potential products
CLASSIC FRENCH STYLE BASKET GREEN ,128,70,1388.65,4,4,4,444,MVP
CLASSIC FRENCH STYLE BASKET NATURAL,45,93,2064.4700000000003,4,4,4,444,MVP
CLASSIC GLASS COOKIE JAR,3,249,5350.200000000001,2,5,5,255,Potential products
CLASSIC GLASS SWEET JAR,120,14,479.45000000000005,4,2,3,423,Inactive product or newly launched
CLASSIC METAL BIRDCAGE PLANT HOLDER,2,261,10123.16,1,5,5,155,Inactive product or newly launched
CLASSIC SUGAR DISPENSER,163,12,247.32,5,2,2,522,Inactive product or newly launched
CLASSIC WHITE FRAME,249,15,162.25,5,2,2,522,Inactive product or newly launched
CLASSICAL ROSE CANDLESTAND,220,7,147.35000000000002,5,1,2,512,Inactive product or newly launched
CLASSICAL ROSE SMALL VASE,262,10,227.1,5,2,2,522,Inactive product or newly launched
CLASSICAL ROSE TABLE LAMP,4,2,55.7,2,1,1,211,Inactive product or newly launched
CLEAR ACRYLIC FACETED BANGLE,1,6,58.6,1,1,1,111,Inactive product or newly launched
CLEAR CRYSTAL STAR PHONE CHARM,3,6,20.39,2,1,1,211,Inactive product or newly launched
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,2,327,6803.17,1,5,5,155,Inactive product or newly launched
CLEAR LOVE BIRD T-LIGHT HOLDER,25,6,146.21,4,1,2,412,Inactive product or newly launched
CLEAR MILKSHAKE GLASS,318,5,75.60000000000001,5,1,2,512,Inactive product or newly launched
CLEAR STATIONERY BOX SET ,246,2,5.1,5,1,1,511,Inactive product or newly launched
CLOCK MAGNET MUM'S KITCHEN,1,40,837.88,1,3,3,133,Inactive product or newly launched
CLOTHES PEGS RETROSPOT PACK 24 ,1,642,12525.21,1,5,5,155,Inactive product or newly launched
COCKLE SHELL DISH,1,32,420.88,1,3,3,133,Inactive product or newly launched
COCKTAIL SWORDS 50 PIECES,1,68,705.25,1,3,3,133,Inactive product or newly launched
COFFEE MUG APPLES DESIGN,1,230,6108.85,1,5,5,155,Inactive product or newly launched
COFFEE MUG BLUE PAISLEY DESIGN,2,47,1252.76,1,3,4,134,Inactive product or newly launched
COFFEE MUG CAT + BIRD DESIGN,1,181,4478.34,1,5,5,155,Inactive product or newly launched
COFFEE MUG DOG + BALL DESIGN,1,143,3011.64,1,4,5,145,Inactive product or newly launched
COFFEE MUG PEARS  DESIGN,1,191,4957.3,1,5,5,155,Inactive product or newly launched
COFFEE MUG PINK PAISLEY DESIGN,2,44,1559.44,1,3,4,134,Inactive product or newly launched
COFFEE SCENT PILLAR CANDLE,2,45,276.45,1,3,2,132,Inactive product or newly launched
COLOUR GLASS T-LIGHT HOLDER HANGING,1,530,9566.51,1,5,5,155,Inactive product or newly launched
COLOUR GLASS. STAR T-LIGHT HOLDER,11,223,16566.34,3,5,5,355,Selling consistently
COLOURED GLASS STAR T-LIGHT HOLDER,1,43,3474.88,1,3,5,135,Inactive product or newly launched
COLOURFUL FLOWER FRUIT BOWL,68,11,50.25,4,2,1,421,Inactive product or newly launched
COLOURING PENCILS BROWN TUBE,2,241,2923.18,1,5,5,155,Inactive product or newly launched
COLUMBIAN  CUBE CANDLE ,40,8,47.18,4,2,1,421,Inactive product or newly launched
COLUMBIAN CANDLE RECTANGLE,7,32,285.15,3,3,2,332,Potential products
COLUMBIAN CANDLE ROUND,12,58,272.32,3,3,2,332,Potential products
COLUMBIAN CANDLE ROUND ,16,30,208.1,3,3,2,332,Potential products
COLUMBIAN CUBE CANDLE,12,12,54.599999999999994,3,2,1,321,Inactive product or newly launched
CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,50,9,160.39,4,2,2,422,Inactive product or newly launched
CONGRATULATIONS BUNTING,200,3,70.85000000000001,5,1,2,512,Inactive product or newly launched
COOK WITH WINE METAL SIGN ,1,607,20232.13,1,5,5,155,Inactive product or newly launched
COOKING SET RETROSPOT,217,25,621.66,5,2,3,523,Inactive product or newly launched
COPPER AND BRASS BAG CHARM,53,2,24.810000000000002,4,1,1,411,Inactive product or newly launched
COPPER/OLIVE GREEN FLOWER NECKLACE,60,4,35.7,4,1,1,411,Inactive product or newly launched
CORDIAL GLASS JUG,15,14,247.5,3,2,2,322,Inactive product or newly launched
CORDIAL JUG,40,2,49.5,4,1,1,411,Inactive product or newly launched
CORONA MEXICAN TRAY,354,18,496.25,5,2,3,523,Inactive product or newly launched
COSMETIC BAG VINTAGE ROSE PAISLEY,2,63,728.62,1,3,3,133,Inactive product or newly launched
COSY HOUR CIGAR BOX MATCHES ,1,150,1451.39,1,4,4,144,Inactive product or newly launched
COSY HOUR GIANT TUBE MATCHES,53,29,475.65,4,3,3,433,Potential products
COSY SLIPPER SHOES LARGE GREEN,24,28,386.45000000000005,4,3,3,433,Potential products
COSY SLIPPER SHOES SMALL  RED ,51,20,126.85000000000001,4,2,2,422,Inactive product or newly launched
COSY SLIPPER SHOES SMALL GREEN,1,48,411.54,1,3,3,133,Inactive product or newly launched
COTE D'AZURE NECKLACE,30,2,14.850000000000001,4,1,1,411,Inactive product or newly launched
COTTON APRON PANTRY DESIGN,1,142,2670.54,1,4,4,144,Inactive product or newly launched
COWBOYS AND INDIANS BIRTHDAY CARD ,1,203,1444.75,1,5,4,154,Inactive product or newly launched
CRACKED GLAZE EARRINGS BROWN,301,1,2.55,5,1,1,511,Inactive product or newly launched
CRACKED GLAZE EARRINGS RED,61,1,2.55,4,1,1,411,Inactive product or newly launched
CRACKED GLAZE NECKLACE IVORY,31,2,41.7,4,1,1,411,Inactive product or newly launched
CRACKED GLAZE NECKLACE RED,61,3,41.7,4,1,1,411,Inactive product or newly launched
CRAZY DAISY HEART DECORATION,4,31,195.52,2,3,2,232,Potential products
CREAM AND PINK FLOWERS PONY ,51,5,41.25,4,1,1,411,Inactive product or newly launched
CREAM BUNNY EASTER EGG BASKET,10,3,41.24999999999999,3,1,1,311,Inactive product or newly launched
CREAM CLIMBING HYDRANGA ART FLOWER,4,3,52.5,2,1,1,211,Inactive product or newly launched
CREAM CUPID HEARTS COAT HANGER,4,243,7121.2300000000005,2,5,5,255,Potential products
CREAM DELPHINIUM ARTIFICIAL FLOWER,4,8,180.58,2,2,2,222,Inactive product or newly launched
CREAM FELT EASTER EGG BASKET,269,104,1446.8999999999999,5,4,4,544,MVP
CREAM HANGING HEART T-LIGHT HOLDER,1,7,155.35,1,1,2,112,Inactive product or newly launched
CREAM HEART CARD HOLDER,1,454,22687.920000000002,1,5,5,155,Inactive product or newly launched
CREAM SLICE FLANNEL CHOCOLATE SPOT ,10,35,530.95,3,3,3,333,Potential products
CREAM SLICE FLANNEL PINK SPOT ,9,63,2209.95,3,3,4,334,Potential products
CREAM SWEETHEART EGG HOLDER,79,149,3547.3,4,4,5,445,MVP
CREAM SWEETHEART LETTER RACK,317,23,866.05,5,2,3,523,Inactive product or newly launched
CREAM SWEETHEART MINI CHEST,1,450,20448.17,1,5,5,155,Inactive product or newly launched
CREAM SWEETHEART WALL CABINET,330,5,126.64999999999999,5,1,2,512,Inactive product or newly launched
CREAM WALL PLANTER HEART SHAPED,1,144,2396.71,1,4,4,144,Inactive product or newly launched
CROCHET BEAR RED/BLUE  KEYRING,159,4,24.75,5,1,1,511,Inactive product or newly launched
CROCHET DOG KEYRING,178,1,1.65,5,1,1,511,Inactive product or newly launched
CROCHET LILAC/RED BEAR KEYRING,14,1,1.65,3,1,1,311,Inactive product or newly launched
CROCHET ROSE DES CLOTHES HANGER,277,2,14.750000000000002,5,1,1,511,Inactive product or newly launched
CROCHET ROSE PURSE WITH SUEDE BACK,9,17,206.50000000000003,3,2,2,322,Inactive product or newly launched
CROCHET WHITE RABBIT KEYRING ,134,3,46.349999999999994,5,1,1,511,Inactive product or newly launched
CRYSTAL CHANDELIER T-LIGHT HOLDER,213,1,18.75,5,1,1,511,Inactive product or newly launched
CRYSTAL CZECH CROSS PHONE CHARM,4,4,13.69,2,1,1,211,Inactive product or newly launched
CRYSTAL DIAMANTE EXPANDABLE RING,227,8,136.0,5,2,2,522,Inactive product or newly launched
CRYSTAL DIAMANTE STAR BROOCH,11,7,59.400000000000006,3,1,1,311,Inactive product or newly launched
CRYSTAL FROG PHONE CHARM,1,11,49.93,1,2,1,121,Inactive product or newly launched
CRYSTAL HOOP EARRING FLORAL LEAF,11,6,35.400000000000006,3,1,1,311,Inactive product or newly launched
CRYSTAL PAIR HEART HAIR SLIDES,33,7,67.5,4,1,1,411,Inactive product or newly launched
CRYSTAL SEA HORSE PHONE CHARM,1,8,33.66,1,2,1,121,Inactive product or newly launched
CRYSTAL STILETTO PHONE CHARM,7,2,20.4,3,1,1,311,Inactive product or newly launched
CRYSTAL STUD EARRINGS ASSORTED COL ,8,15,232.56,3,2,2,322,Inactive product or newly launched
CRYSTAL STUD EARRINGS CLEAR DISPLAY,26,7,123.12,4,1,2,412,Inactive product or newly launched
CUBIC MUG FLOCK BLUE ON BROWN,177,17,60.33,5,2,1,521,Inactive product or newly launched
CUBIC MUG FLOCK PINK ON BROWN,32,21,52.5,4,2,1,421,Inactive product or newly launched
CUBIC MUG PINK POLKADOT,241,35,216.26999999999998,5,3,2,532,Potential products
CUPBOARD 3 DRAWER MA CAMPAGNE,3,87,2070.95,2,4,4,244,Potential products
CUPCAKE LACE PAPER SET 6,1,172,4355.33,1,5,5,155,Inactive product or newly launched
CUPID DESIGN SCENTED CANDLES,1,30,436.4,1,3,3,133,Inactive product or newly launched
CUPID SCENTED CANDLE IN GLASS,302,4,18.15,5,1,1,511,Inactive product or newly launched
CURIO CABINET LINEN AND LACE ,14,18,290.1,3,2,2,322,Inactive product or newly launched
CURIOUS  IMAGES NOTEBOOK SET,184,10,262.25,5,2,2,522,Inactive product or newly launched
CURIOUS IMAGES GIFT WRAP SET,2,85,565.1,1,4,3,143,Inactive product or newly launched
CURIOUS IMAGES SCRAP BOOK SET,359,1,14.850000000000001,5,1,1,511,Inactive product or newly launched
CUSHION COVER PINK UNION JACK,2,37,576.64,1,3,3,133,Inactive product or newly launched
CUT GLASS HEXAGON T-LIGHT HOLDER,11,9,912.9599999999999,3,2,3,323,Inactive product or newly launched
CUT GLASS T-LIGHT HOLDER OCTAGON,3,27,511.35,2,3,3,233,Potential products
CUTE BIRD CEATURE SCREEN,113,2,8.58,4,1,1,411,Inactive product or newly launched
CUTE CATS TAPE,4,45,315.55,2,3,2,232,Potential products
CUTE RABBIT CEATURE SCREEN ,113,2,4.29,4,1,1,411,Inactive product or newly launched
DAIRY MAID  PUDDING BOWL,365,2,18.75,5,1,1,511,Inactive product or newly launched
DAIRY MAID LARGE MILK JUG,3,125,1563.75,2,4,4,244,Potential products
DAIRY MAID STRIPE MUG,12,82,1720.3000000000002,3,4,4,344,Selling consistently
DAIRY MAID TOASTRACK,1,84,690.12,1,4,3,143,Inactive product or newly launched
DAIRY MAID TRADITIONAL TEAPOT ,10,86,1209.2,3,4,4,344,Selling consistently
DAISIES  HONEYCOMB GARLAND ,3,51,691.3499999999999,2,3,3,233,Potential products
DAISY FOLKART HEART DECORATION,33,17,120.0,4,2,2,422,Inactive product or newly launched
DAISY GARDEN MARKER,8,54,1513.1,3,3,4,334,Potential products
DAISY HAIR BAND,33,6,75.89999999999999,4,1,2,412,Inactive product or newly launched
DAISY HAIR COMB,77,1,15.299999999999999,4,1,1,411,Inactive product or newly launched
DAISY JOURNAL ,3,26,173.11999999999998,2,2,2,222,Inactive product or newly launched
DAISY NOTEBOOK ,9,21,103.94999999999999,3,2,2,322,Inactive product or newly launched
DAISY SKETCHBOOK ,4,25,189.96,2,2,2,222,Inactive product or newly launched
